"Activity 
2_DC Rollover IRA *4915 
as of 02/04/2026 at 11:21:41 AM"

Date,Description,Symbol,Quantity,Price,Amount,Cash Balance,Commission,Fees,Account,Settlement Date,Type
Sep-26-2025,YOU BOUGHT,BWXT,0.828,180.06,-149.09,"+458,518.81",--,--,2_DC Rollover IRA *4915,Sep-29-2025,Cash
Sep-25-2025,YOU SOLD,TSLA,-38,422.61,"16,059.15","+458,667.90",--,--,2_DC Rollover IRA *4915,Sep-26-2025,Cash
Sep-25-2025,YOU BOUGHT,PLTR,221,183.57,"-40,568.51","+442,608.75",--,--,2_DC Rollover IRA *4915,Sep-26-2025,Cash
Sep-25-2025,YOU SOLD,AVGO,-120,327.81,"39,337.21","+483,177.26",--,--,2_DC Rollover IRA *4915,Sep-26-2025,Cash
Sep-24-2025,YOU SOLD,TSLA,-38,434.80,"16,522.40","+443,840.05",--,--,2_DC Rollover IRA *4915,Sep-25-2025,Cash
Sep-24-2025,YOU BOUGHT,AVGO,120,339.01,"-40,681.20","+427,317.65",--,--,2_DC Rollover IRA *4915,Sep-25-2025,Cash
Sep-24-2025,YOU SOLD,ALAB,-150,205.82,"30,872.31","+467,998.85",--,--,2_DC Rollover IRA *4915,Sep-25-2025,Cash
Sep-23-2025,YOU SOLD,SNOW,-175,224.37,"39,264.75","+437,126.54",--,--,2_DC Rollover IRA *4915,Sep-24-2025,Cash
Sep-23-2025,YOU SOLD,HOOD,-360,125.94,"45,339.30","+397,861.79",--,--,2_DC Rollover IRA *4915,Sep-24-2025,Cash
Sep-23-2025,YOU SOLD,PLTR,-0.544,178.09,96.88,"+352,522.49",--,--,2_DC Rollover IRA *4915,Sep-24-2025,Cash
Sep-23-2025,YOU SOLD,PLTR,-135,178.09,"24,042.15","+352,425.61",--,--,2_DC Rollover IRA *4915,Sep-24-2025,Cash
Sep-23-2025,YOU SOLD,ORCL,-128,310.48,"39,742.02","+328,383.46",--,--,2_DC Rollover IRA *4915,Sep-24-2025,Cash
Sep-23-2025,YOU SOLD,ALAB,-0.336,223.65,75.15,"+288,641.44",--,--,2_DC Rollover IRA *4915,Sep-24-2025,Cash
Sep-23-2025,YOU SOLD,ALAB,-106,223.65,"23,706.90","+288,566.29",--,--,2_DC Rollover IRA *4915,Sep-24-2025,Cash
Sep-23-2025,YOU SOLD,ALAB,-150,224.58,"33,686.63","+264,859.39",--,--,2_DC Rollover IRA *4915,Sep-24-2025,Cash
Sep-23-2025,YOU SOLD,NBIS,-450,105.97,"47,688.71","+231,172.76",--,--,2_DC Rollover IRA *4915,Sep-24-2025,Cash
Sep-22-2025,YOU SOLD,HOOD,-125,123.77,"15,471.25","+183,484.05",--,--,2_DC Rollover IRA *4915,Sep-23-2025,Cash
Sep-22-2025,YOU SOLD,PLTR,-90,178.65,"16,078.50","+168,012.80",--,--,2_DC Rollover IRA *4915,Sep-23-2025,Cash
Sep-22-2025,YOU BOUGHT,ORCL,128,314.12,"-40,207.36","+151,934.30",--,--,2_DC Rollover IRA *4915,Sep-23-2025,Cash
Sep-22-2025,YOU SOLD,AVGO,-120,341.57,"40,988.40","+192,141.66",--,--,2_DC Rollover IRA *4915,Sep-23-2025,Cash
Sep-22-2025,YOU BOUGHT,ALAB,75,238.57,"-17,893.01","+151,153.26",--,--,2_DC Rollover IRA *4915,Sep-23-2025,Cash
Sep-22-2025,YOU SOLD,NBIS,-150,107.40,"16,110.00","+169,046.27",--,--,2_DC Rollover IRA *4915,Sep-23-2025,Cash
Sep-19-2025,DIVIDEND RECEIVED,IPO,--,--,242.61,"+152,936.27",--,--,2_DC Rollover IRA *4915,--,Cash
Sep-19-2025,YOU BOUGHT,SNOW,175,227.44,"-39,801.98","+152,693.66",--,--,2_DC Rollover IRA *4915,Sep-22-2025,Cash
Sep-19-2025,YOU SOLD,HOOD,-155,122.92,"19,053.38","+192,495.64",--,--,2_DC Rollover IRA *4915,Sep-22-2025,Cash
Sep-19-2025,YOU BOUGHT,PLTR,222,179.90,"-39,938.69","+173,442.26",--,--,2_DC Rollover IRA *4915,Sep-22-2025,Cash
Sep-19-2025,YOU BOUGHT,PLTR,0.544,179.91,-97.87,"+213,380.95",--,--,2_DC Rollover IRA *4915,Sep-22-2025,Cash
Sep-19-2025,YOU SOLD,PLTR,-110,183.37,"20,170.15","+213,478.82",--,--,2_DC Rollover IRA *4915,Sep-22-2025,Cash
Sep-19-2025,YOU SOLD,PLTR,-112,182.57,"20,447.93","+193,308.67",--,--,2_DC Rollover IRA *4915,Sep-22-2025,Cash
Sep-19-2025,YOU BOUGHT,AVGO,120,344.90,"-41,387.52","+172,860.74",--,--,2_DC Rollover IRA *4915,Sep-22-2025,Cash
Sep-19-2025,YOU SOLD,NBIS,-200,95.95,"19,190.32","+214,248.26",--,--,2_DC Rollover IRA *4915,Sep-22-2025,Cash
Sep-19-2025,YOU SOLD,SPOT,-50,732.24,"36,611.93","+195,057.94",--,--,2_DC Rollover IRA *4915,Sep-22-2025,Cash
Sep-18-2025,YOU BOUGHT,HOOD,320,122.79,"-39,292.96","+158,446.01",--,--,2_DC Rollover IRA *4915,Sep-19-2025,Cash
Sep-18-2025,YOU BOUGHT,PLTR,225,173.80,"-39,105.00","+197,738.97",--,--,2_DC Rollover IRA *4915,Sep-19-2025,Cash
Sep-18-2025,YOU SOLD,META,-45,782.82,"35,226.90","+236,843.97",--,--,2_DC Rollover IRA *4915,Sep-19-2025,Cash
Sep-18-2025,YOU BOUGHT,NBIS,400,95.68,"-38,273.40","+201,617.07",--,--,2_DC Rollover IRA *4915,Sep-19-2025,Cash
Sep-18-2025,YOU BOUGHT,SPOT,50,739.67,"-36,983.50","+239,890.47",--,--,2_DC Rollover IRA *4915,Sep-19-2025,Cash
Sep-17-2025,YOU BOUGHT,TSLA,50,415.42,"-20,771.09","+276,873.97",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU BOUGHT,TSLA,0.7,415.39,-290.77,"+297,645.06",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU SOLD,TSLA,-0.311,414.14,128.80,"+297,935.83",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU SOLD,TSLA,-100,410.18,"41,018.00","+297,807.03",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU SOLD,TSLA,-100,414.14,"41,414.50","+256,789.03",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU BOUGHT,HOOD,320,118.84,"-38,028.80","+215,374.53",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU SOLD,ORCL,-0.673,299.36,201.47,"+253,403.33",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU SOLD,ORCL,-132,299.30,"39,507.01","+253,201.86",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU SOLD,DFFVX,-408.35,36.41,"14,868.02","+213,694.85",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU SOLD,DUSLX,-369.771,42.95,"15,881.66","+198,826.83",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU SOLD,DURPX,"-1,501.123",26.92,"40,410.23","+182,945.17",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU SOLD,APP,-0.291,589.14,171.44,"+142,534.94",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-17-2025,YOU BOUGHT,NBIS,400,94.17,"-37,669.00","+142,363.50",--,--,2_DC Rollover IRA *4915,Sep-18-2025,Cash
Sep-16-2025,YOU SOLD,IPO,-345,52.29,"18,040.08","+180,032.50",--,--,2_DC Rollover IRA *4915,Sep-17-2025,Cash
Sep-16-2025,YOU SOLD,IPO,-345,52.45,"18,095.28","+161,992.42",--,--,2_DC Rollover IRA *4915,Sep-17-2025,Cash
Sep-16-2025,YOU BOUGHT,ORCL,127,313.75,"-39,846.69","+143,897.14",--,--,2_DC Rollover IRA *4915,Sep-17-2025,Cash
Sep-16-2025,YOU BOUGHT,ORCL,0.673,313.79,-211.18,"+183,743.83",--,--,2_DC Rollover IRA *4915,Sep-17-2025,Cash
Sep-16-2025,YOU SOLD,ORCL,-130,303.27,"39,424.46","+183,955.01",--,--,2_DC Rollover IRA *4915,Sep-17-2025,Cash
Sep-16-2025,YOU SOLD,FNGS,-450,70.32,"31,644.05","+144,530.55",--,--,2_DC Rollover IRA *4915,Sep-17-2025,Cash
Sep-15-2025,YOU BOUGHT,ORCL,135,304.83,"-41,152.59","+112,886.50",--,--,2_DC Rollover IRA *4915,Sep-16-2025,Cash
Sep-15-2025,YOU BOUGHT,META,45,769.32,"-34,619.40","+154,039.09",--,--,2_DC Rollover IRA *4915,Sep-16-2025,Cash
Sep-15-2025,YOU SOLD,DHI,-177,172.90,"30,603.32","+188,658.49",--,--,2_DC Rollover IRA *4915,Sep-16-2025,Cash
Sep-15-2025,YOU BOUGHT,FNGS,350,70.32,"-24,612.00","+158,055.17",--,--,2_DC Rollover IRA *4915,Sep-16-2025,Cash
Sep-15-2025,YOU BOUGHT,FNGS,100,70.31,"-7,031.00","+182,667.17",--,--,2_DC Rollover IRA *4915,Sep-16-2025,Cash
Sep-15-2025,YOU BOUGHT,ALAB,86,232.53,"-19,998.01","+189,698.17",--,--,2_DC Rollover IRA *4915,Sep-16-2025,Cash
Sep-15-2025,YOU BOUGHT,ALAB,0.289,232.53,-67.20,"+209,696.18",--,--,2_DC Rollover IRA *4915,Sep-16-2025,Cash
Sep-12-2025,YOU SOLD,TOL,-107,143.74,"15,380.61","+209,763.38",--,--,2_DC Rollover IRA *4915,Sep-15-2025,Cash
Sep-12-2025,YOU SOLD,TOL,-107,144.16,"15,425.12","+194,382.77",--,--,2_DC Rollover IRA *4915,Sep-15-2025,Cash
Sep-12-2025,YOU SOLD,TOL,-214,144.28,"30,875.28","+178,957.65",--,--,2_DC Rollover IRA *4915,Sep-15-2025,Cash
Sep-12-2025,YOU BOUGHT,TSLA,45,375.83,"-16,912.33","+148,082.37",--,--,2_DC Rollover IRA *4915,Sep-15-2025,Cash
Sep-12-2025,YOU SOLD,IPO,-690,52.41,"36,162.90","+164,994.70",--,--,2_DC Rollover IRA *4915,Sep-15-2025,Cash
Sep-12-2025,YOU SOLD,MP,-0.552,63.16,34.86,"+128,831.80",--,--,2_DC Rollover IRA *4915,Sep-15-2025,Cash
Sep-12-2025,YOU SOLD,MP,-694,63.16,"43,834.78","+128,796.94",--,--,2_DC Rollover IRA *4915,Sep-15-2025,Cash
Sep-12-2025,YOU SOLD,DHI,-178,178.06,"31,694.68","+84,962.16",--,--,2_DC Rollover IRA *4915,Sep-15-2025,Cash
Sep-12-2025,YOU SOLD,AEO,-0.657,18.95,12.45,"+53,267.48",--,--,2_DC Rollover IRA *4915,Sep-15-2025,Cash
Sep-12-2025,YOU SOLD,AEO,"-1,870",18.96,"35,448.66","+53,255.03",--,--,2_DC Rollover IRA *4915,Sep-15-2025,Cash
Sep-11-2025,YOU BOUGHT,TSLA,125,358.39,"-44,798.81","+17,806.37",--,--,2_DC Rollover IRA *4915,Sep-12-2025,Cash
Sep-11-2025,YOU BOUGHT,TSLA,30,366.63,"-10,999.05","+62,605.18",--,--,2_DC Rollover IRA *4915,Sep-12-2025,Cash
Sep-11-2025,YOU BOUGHT,TSLA,25,366.08,"-9,152.00","+73,604.23",--,--,2_DC Rollover IRA *4915,Sep-12-2025,Cash
Sep-11-2025,YOU BOUGHT,TSLA,0.611,358.39,-218.98,"+82,756.23",--,--,2_DC Rollover IRA *4915,Sep-12-2025,Cash
Sep-11-2025,YOU SOLD,TSM,-0.213,260.42,55.47,"+82,975.21",--,--,2_DC Rollover IRA *4915,Sep-12-2025,Cash
Sep-11-2025,YOU SOLD,TSM,-140,260.42,"36,458.10","+82,919.74",--,--,2_DC Rollover IRA *4915,Sep-12-2025,Cash
Sep-11-2025,YOU SOLD,PLTR,-0.8,165.66,132.53,"+46,461.64",--,--,2_DC Rollover IRA *4915,Sep-12-2025,Cash
Sep-11-2025,YOU SOLD,PLTR,-213,163.40,"34,804.20","+46,329.11",--,--,2_DC Rollover IRA *4915,Sep-12-2025,Cash
Sep-11-2025,YOU SOLD,PLTR,-213,165.66,"35,285.92","+11,524.91",--,--,2_DC Rollover IRA *4915,Sep-12-2025,Cash
Sep-11-2025,YOU BOUGHT,MP,694,64.93,"-45,064.06","-23,761.01",--,--,2_DC Rollover IRA *4915,Sep-12-2025,Cash
Sep-11-2025,YOU BOUGHT,MP,0.552,64.93,-35.84,"+21,303.05",--,--,2_DC Rollover IRA *4915,Sep-12-2025,Cash
Sep-10-2025,YOU SOLD,TTWO,-140,245.68,"34,394.92","+21,338.89",--,--,2_DC Rollover IRA *4915,Sep-11-2025,Cash
Sep-10-2025,YOU BOUGHT,PLTR,211,165.47,"-34,914.80","-13,056.03",--,--,2_DC Rollover IRA *4915,Sep-11-2025,Cash
Sep-10-2025,YOU BOUGHT,PLTR,0.8,165.47,-132.38,"+21,858.77",--,--,2_DC Rollover IRA *4915,Sep-11-2025,Cash
Sep-10-2025,YOU SOLD,CDNS,-100,332.77,"33,276.70","+21,991.15",--,--,2_DC Rollover IRA *4915,Sep-11-2025,Cash
Sep-10-2025,YOU BOUGHT,ALAB,78,221.20,"-17,253.60","-11,285.55",--,--,2_DC Rollover IRA *4915,Sep-11-2025,Cash
Sep-10-2025,YOU BOUGHT,ALAB,0.939,221.20,-207.71,"+5,968.05",--,--,2_DC Rollover IRA *4915,Sep-11-2025,Cash
Sep-10-2025,YOU BOUGHT,AEO,"1,870",18.73,"-35,031.65","+6,175.76",--,--,2_DC Rollover IRA *4915,Sep-11-2025,Cash
Sep-10-2025,YOU BOUGHT,AEO,0.657,18.73,-12.31,"+41,207.41",--,--,2_DC Rollover IRA *4915,Sep-11-2025,Cash
Sep-9-2025,YOU BOUGHT,TSM,140,249.71,"-34,959.40","+41,219.72",--,--,2_DC Rollover IRA *4915,Sep-10-2025,Cash
Sep-9-2025,YOU BOUGHT,TSM,0.213,249.72,-53.19,"+76,179.12",--,--,2_DC Rollover IRA *4915,Sep-10-2025,Cash
Sep-9-2025,YOU BOUGHT,PLTR,215,160.97,"-34,608.53","+76,232.31",--,--,2_DC Rollover IRA *4915,Sep-10-2025,Cash
Sep-8-2025,YOU BOUGHT,TTWO,140,249.34,"-34,906.90","+110,840.84",--,--,2_DC Rollover IRA *4915,Sep-9-2025,Cash
Sep-8-2025,YOU BOUGHT,IPO,"1,380",51.40,"-70,931.86","+145,747.74",--,--,2_DC Rollover IRA *4915,Sep-9-2025,Cash
Sep-8-2025,YOU BOUGHT,CDNS,100,358.83,"-35,883.00","+216,679.60",--,--,2_DC Rollover IRA *4915,Sep-9-2025,Cash
Sep-8-2025,YOU SOLD,ANET,-106,140.34,"14,876.04","+252,562.60",--,--,2_DC Rollover IRA *4915,Sep-9-2025,Cash
Sep-5-2025,YOU SOLD,SHOP,-215,145.73,"31,331.94","+237,686.56",--,--,2_DC Rollover IRA *4915,Sep-8-2025,Cash
Sep-5-2025,YOU SOLD,HOOD,-300,102.30,"30,688.50","+206,354.62",--,--,2_DC Rollover IRA *4915,Sep-8-2025,Cash
Sep-5-2025,YOU SOLD,BROS,-412,70.59,"29,082.46","+175,666.12",--,--,2_DC Rollover IRA *4915,Sep-8-2025,Cash
Sep-5-2025,YOU SOLD,DFISX,-738.64,24.51,"18,104.07","+146,583.66",--,--,2_DC Rollover IRA *4915,Sep-8-2025,Cash
Sep-5-2025,YOU SOLD,DFCEX,-742.562,27.53,"20,442.73","+128,479.59",--,--,2_DC Rollover IRA *4915,Sep-8-2025,Cash
Sep-5-2025,YOU SOLD,DILRX,-795.425,18.98,"15,097.17","+108,036.86",--,--,2_DC Rollover IRA *4915,Sep-8-2025,Cash
Sep-5-2025,YOU SOLD,NET,-150,209.16,"31,374.75","+92,939.69",--,--,2_DC Rollover IRA *4915,Sep-8-2025,Cash
Sep-5-2025,YOU SOLD,ALAB,-160,184.93,"29,588.80","+61,564.94",--,--,2_DC Rollover IRA *4915,Sep-8-2025,Cash
Sep-5-2025,YOU SOLD,ANET,-106,142.39,"15,093.34","+31,976.14",--,--,2_DC Rollover IRA *4915,Sep-8-2025,Cash
Sep-4-2025,YOU BOUGHT,TOL,208,145.12,"-30,184.13","+16,882.80",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-4-2025,YOU BOUGHT,SHOP,215,144.36,"-31,037.40","+47,066.93",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-4-2025,YOU SOLD,RBLX,-240,127.64,"30,632.40","+78,104.33",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-4-2025,YOU BOUGHT,HOOD,300,104.43,"-31,328.76","+47,471.93",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-4-2025,YOU SOLD,NVS,-234,128.57,"30,085.57","+78,800.69",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-4-2025,YOU SOLD,DASH,-120,244.71,"29,364.62","+48,715.12",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-4-2025,YOU BOUGHT,NET,150,210.74,"-31,611.66","+19,350.50",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-4-2025,YOU BOUGHT,ALAB,165,182.29,"-30,078.18","+50,962.16",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-4-2025,YOU BOUGHT,ALAB,161,186.20,"-29,978.20","+81,040.34",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-4-2025,YOU BOUGHT,ALAB,0.108,186.17,-20.11,"+111,018.54",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-4-2025,YOU BOUGHT,ANET,424,141.58,"-60,029.07","+111,038.65",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-4-2025,YOU SOLD,ANET,-212,139.69,"29,613.86","+171,067.72",--,--,2_DC Rollover IRA *4915,Sep-5-2025,Cash
Sep-3-2025,YOU BOUGHT,TOL,220,141.37,"-31,101.18","+141,453.86",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-3-2025,YOU SOLD,SNOW,-129,228.99,"29,539.45","+172,555.04",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-3-2025,YOU SOLD,RKLB,-100,47.16,"4,716.08","+143,015.59",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-3-2025,YOU SOLD,RKLB,-200,47.16,"9,432.00","+138,299.51",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-3-2025,YOU SOLD,RKLB,-300,46.93,"14,079.00","+128,867.51",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-3-2025,YOU BOUGHT,RDDT,132,228.34,"-30,140.88","+114,788.51",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-3-2025,YOU SOLD,RDDT,-1,219.70,219.70,"+144,929.39",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-3-2025,YOU SOLD,RDDT,-27,219.69,"5,931.63","+144,709.69",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-3-2025,YOU SOLD,RDDT,-104,219.75,"22,854.00","+138,778.06",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-3-2025,YOU BOUGHT,NVS,234,128.28,"-30,017.52","+115,924.06",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-3-2025,YOU BOUGHT,DASH,120,251.49,"-30,178.20","+145,941.58",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-3-2025,YOU SOLD,BSX,-282,105.45,"29,736.90","+176,119.78",--,--,2_DC Rollover IRA *4915,Sep-4-2025,Cash
Sep-2-2025,YOU BOUGHT,SNOW,129,232.57,"-30,001.53","+146,382.88",--,--,2_DC Rollover IRA *4915,Sep-3-2025,Cash
Sep-2-2025,YOU BOUGHT,RKLB,600,49.41,"-29,643.00","+176,384.41",--,--,2_DC Rollover IRA *4915,Sep-3-2025,Cash
Sep-2-2025,YOU BOUGHT,RBLX,240,128.68,"-30,883.20","+206,027.41",--,--,2_DC Rollover IRA *4915,Sep-3-2025,Cash
Sep-2-2025,YOU BOUGHT,BROS,412,73.14,"-30,133.68","+236,910.61",--,--,2_DC Rollover IRA *4915,Sep-3-2025,Cash
Sep-2-2025,YOU BOUGHT,DHI,177,170.40,"-30,160.78","+267,044.29",--,--,2_DC Rollover IRA *4915,Sep-3-2025,Cash
Sep-2-2025,YOU BOUGHT,BSX,282,106.65,"-30,075.30","+297,205.07",--,--,2_DC Rollover IRA *4915,Sep-3-2025,Cash
Sep-2-2025,YOU SOLD,ALV,-168,123.00,"20,664.00","+327,280.37",--,--,2_DC Rollover IRA *4915,Sep-3-2025,Cash
Aug-29-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,721.48,1.00,-721.48,"+306,616.37",--,--,2_DC Rollover IRA *4915,--,Cash
Aug-29-2025,DIVIDEND RECEIVED,FDRXX,--,--,721.48,"+306,616.37",--,--,2_DC Rollover IRA *4915,--,Cash
Aug-29-2025,YOU SOLD,GEV,-49,616.00,"30,184.00","+305,894.89",--,--,2_DC Rollover IRA *4915,Sep-2-2025,Cash
Aug-29-2025,YOU SOLD,GEV,-49,623.37,"30,545.13","+275,710.89",--,--,2_DC Rollover IRA *4915,Sep-2-2025,Cash
Aug-29-2025,YOU SOLD,FIX,-45,701.00,"31,545.00","+245,165.76",--,--,2_DC Rollover IRA *4915,Sep-2-2025,Cash
Aug-29-2025,YOU BOUGHT,CCJ,378,79.22,"-29,945.16","+213,620.76",--,--,2_DC Rollover IRA *4915,Sep-2-2025,Cash
Aug-29-2025,YOU SOLD,CCJ,-753,77.00,"57,984.77","+243,565.92",--,--,2_DC Rollover IRA *4915,Sep-2-2025,Cash
Aug-29-2025,YOU SOLD,ALAB,-80,181.62,"14,530.00","+185,581.15",--,--,2_DC Rollover IRA *4915,Sep-2-2025,Cash
Aug-28-2025,YOU SOLD,TSLA,-90,344.88,"31,039.20","+171,051.15",--,--,2_DC Rollover IRA *4915,Aug-29-2025,Cash
Aug-28-2025,YOU SOLD,GS,-30,747.95,"22,438.35","+140,011.95",--,--,2_DC Rollover IRA *4915,Aug-29-2025,Cash
Aug-28-2025,YOU BOUGHT,GEV,48,635.51,"-30,504.48","+117,573.60",--,--,2_DC Rollover IRA *4915,Aug-29-2025,Cash
Aug-28-2025,YOU BOUGHT,DHI,178,168.63,"-30,016.14","+148,078.08",--,--,2_DC Rollover IRA *4915,Aug-29-2025,Cash
Aug-28-2025,YOU BOUGHT,FIX,45,725.86,"-32,663.59","+178,094.22",--,--,2_DC Rollover IRA *4915,Aug-29-2025,Cash
Aug-28-2025,YOU SOLD,CCL,-47,32.43,"1,524.21","+210,757.81",--,--,2_DC Rollover IRA *4915,Aug-29-2025,Cash
Aug-28-2025,YOU SOLD,CCL,-900,32.42,"29,182.50","+209,233.60",--,--,2_DC Rollover IRA *4915,Aug-29-2025,Cash
Aug-28-2025,YOU BOUGHT,CCJ,375,78.24,"-29,340.00","+180,051.10",--,--,2_DC Rollover IRA *4915,Aug-29-2025,Cash
Aug-28-2025,YOU BOUGHT,ALAB,80,191.00,"-15,279.69","+209,391.10",--,--,2_DC Rollover IRA *4915,Aug-29-2025,Cash
Aug-27-2025,YOU BOUGHT,APP,63,474.56,"-29,897.20","+224,670.79",--,--,2_DC Rollover IRA *4915,Aug-28-2025,Cash
Aug-27-2025,YOU BOUGHT,APP,0.291,474.47,-138.07,"+254,567.99",--,--,2_DC Rollover IRA *4915,Aug-28-2025,Cash
Aug-27-2025,YOU SOLD,APP,-96,464.00,"44,544.00","+254,706.06",--,--,2_DC Rollover IRA *4915,Aug-28-2025,Cash
Aug-26-2025,YOU BOUGHT,TSLA,90,348.03,"-31,323.04","+210,162.06",--,--,2_DC Rollover IRA *4915,Aug-27-2025,Cash
Aug-26-2025,YOU SOLD,GS,-11,748.03,"8,228.33","+241,485.10",--,--,2_DC Rollover IRA *4915,Aug-27-2025,Cash
Aug-26-2025,YOU BOUGHT,GEV,50,622.50,"-31,125.00","+233,256.77",--,--,2_DC Rollover IRA *4915,Aug-27-2025,Cash
Aug-26-2025,YOU BOUGHT,CCL,947,31.68,"-30,000.96","+264,381.77",--,--,2_DC Rollover IRA *4915,Aug-27-2025,Cash
Aug-26-2025,YOU BOUGHT,APP,66,459.56,"-30,331.29","+294,382.73",--,--,2_DC Rollover IRA *4915,Aug-27-2025,Cash
Aug-26-2025,YOU SOLD,APP,-33,468.56,"15,462.55","+324,714.02",--,--,2_DC Rollover IRA *4915,Aug-27-2025,Cash
Aug-25-2025,YOU SOLD,UBER,-154,95.16,"14,653.87","+309,251.47",--,--,2_DC Rollover IRA *4915,Aug-26-2025,Cash
Aug-25-2025,YOU SOLD,UBER,-154,95.29,"14,674.78","+294,597.60",--,--,2_DC Rollover IRA *4915,Aug-26-2025,Cash
Aug-25-2025,YOU SOLD,INTC,"-1,208",24.86,"30,036.92","+279,922.82",--,--,2_DC Rollover IRA *4915,Aug-26-2025,Cash
Aug-22-2025,YOU BOUGHT,UBER,308,97.37,"-29,989.96","+249,885.90",--,--,2_DC Rollover IRA *4915,Aug-25-2025,Cash
Aug-22-2025,YOU BOUGHT,INTC,"1,208",24.84,"-30,012.76","+279,875.86",--,--,2_DC Rollover IRA *4915,Aug-25-2025,Cash
Aug-22-2025,YOU SOLD,INCY,-119,85.99,"10,232.81","+309,888.62",--,--,2_DC Rollover IRA *4915,Aug-25-2025,Cash
Aug-22-2025,YOU BOUGHT,GS,41,738.76,"-30,289.04","+299,655.81",--,--,2_DC Rollover IRA *4915,Aug-25-2025,Cash
Aug-22-2025,YOU SOLD,GEV,-49,610.54,"29,916.61","+329,944.85",--,--,2_DC Rollover IRA *4915,Aug-25-2025,Cash
Aug-22-2025,YOU SOLD,GEV,-50,607.66,"30,383.10","+300,028.24",--,--,2_DC Rollover IRA *4915,Aug-25-2025,Cash
Aug-22-2025,YOU SOLD,ALAB,-83,181.73,"15,083.62","+269,645.14",--,--,2_DC Rollover IRA *4915,Aug-25-2025,Cash
Aug-22-2025,YOU SOLD,ALAB,-95,179.83,"17,083.86","+254,561.52",--,--,2_DC Rollover IRA *4915,Aug-25-2025,Cash
Aug-22-2025,YOU SOLD,ALAB,-170,181.80,"30,905.59","+237,477.66",--,--,2_DC Rollover IRA *4915,Aug-25-2025,Cash
Aug-21-2025,YOU BOUGHT,GEV,49,610.89,"-29,933.61","+206,572.07",--,--,2_DC Rollover IRA *4915,Aug-22-2025,Cash
Aug-21-2025,YOU BOUGHT,ALAB,171,174.66,"-29,866.24","+236,505.68",--,--,2_DC Rollover IRA *4915,Aug-22-2025,Cash
Aug-20-2025,YOU BOUGHT,GEV,50,604.83,"-30,241.50","+266,371.92",--,--,2_DC Rollover IRA *4915,Aug-21-2025,Cash
Aug-20-2025,YOU BOUGHT,ALAB,177,169.71,"-30,038.67","+296,613.42",--,--,2_DC Rollover IRA *4915,Aug-21-2025,Cash
Aug-19-2025,YOU BOUGHT,TSLA,88,337.16,"-29,670.08","+326,652.09",--,--,2_DC Rollover IRA *4915,Aug-20-2025,Cash
Aug-19-2025,YOU SOLD,TSLA,-88,331.28,"29,152.64","+356,322.17",--,--,2_DC Rollover IRA *4915,Aug-20-2025,Cash
Aug-19-2025,YOU BOUGHT,LRN,91,164.16,"-14,938.89","+327,169.53",--,--,2_DC Rollover IRA *4915,Aug-20-2025,Cash
